CompanyName,EmployeeCount,Locations,phone,Fax
Hillcrest Healthcare,1,"[{'_id': '63e2436e130545004bf4a63f', 'address': {'complete': '5321 Beverly Park Circle, Knoxville, TN 37918, USA', 'state': 'TN', 'city': 'Knoxville', 'country': 'US'}, 'location': {'lat': 36.0613132, 'lon': -83.89268609999999}, 'name': 'Knoxville', 'companyId': '63e2436e130545004bf4a638', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
North East Hearing,3,"[{'_id': '602fd1f51aa82500609697c7', 'address': {'country': 'US', 'state': 'NY', 'city': 'Piitsford', 'zip': '14534', 'streetNumber': '8', 'streetName': 'Springwood Lane', 'complete': '8 Springwood Lane, Piitsford, NY 14534, United States of America'}, 'location': {'lat': 43.0711395, 'lon': -77.4790622}, 'name': 'Bataille, Donald', 'companyId': '602fd1f51aa82500609697c6', 'phone': '+1 585-727-0408', 'fax': '', 'employeesCount': 1}, {'_id': '60340c15645f420085b292f8', 'address': {'country': 'US', 'complete': 'United States'}, 'location': {'lat': 37.09024, 'lon': -95.712891}, 'name': 'United States', 'companyId': '602fd1f51aa82500609697c6', 'phone': '', 'fax': '', 'employeesCount': 1}, {'_id': '60ff23fcacb3ba00ba3cbc74', 'address': {'streetName': '47 Echo Avenue #1106', 'city': 'Miller Place', 'state': 'NY', 'country': 'US', 'zip': '11764', 'complete': '47 Echo Avenue #1106, Miller Place, NY 11764, United States of America'}, 'location': {'lat': 40.9442238, 'lon': -73.00040059999999}, 'name': 'Miller Place', 'companyId': '602fd1f51aa82500609697c6', 'phone': '', 'fax': '', 'employeesCount': 1}]",+1 585-727-0408,
Westborough High School,2,"[{'_id': '63f5063bdb8461004047f0d6', 'address': {'complete': '45 W Main St, Westborough, MA 01581, USA', 'state': 'MA', 'city': 'Westborough', 'country': 'US'}, 'location': {'lat': 42.2682894, 'lon': -71.6149626}, 'name': 'Westborough', 'companyId': '63f5063bdb8461004047f0cf', 'phone': '', 'fax': '', 'employeesCount': 2}]",,
Thoughtwire,1,"[{'_id': '60db8a70db685e009ee1ab99', 'address': {'country': 'US', 'complete': 'United States of America'}, 'location': {'lat': 37.09024, 'lon': -95.712891}, 'name': 'United States of America', 'companyId': '60db8a70db685e009ee1ab98', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Marathon Eavestroughing,1,"[{'_id': '5c75669816d96200317f694f', 'address': {'complete': '870 3rd Ave, Prince George, BC V2L 3C8, Canada', 'streetNumber': '870', 'streetName': '3rd Avenue', 'city': 'Prince George', 'state': 'BC', 'country': 'CA', 'zip': 'V2L 3C8'}, 'location': {'lat': 53.9150721, 'lon': -122.73844050000002}, 'name': 'Prince George', 'companyId': '5c75669816d96200317f694e', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Borough of Naugatuck,4,"[{'_id': '5ed7d9cc377163002ae56654', 'address': {'city': 'Naugatuck', 'state': 'CT', 'country': 'US', 'zip': '06770', 'complete': 'Naugatuck, CT 06770, United States of America'}, 'location': {'lat': 41.485921, 'lon': -73.0506972}, 'name': 'Naugatuck', 'companyId': '5ed7d9cc377163002ae56653', 'phone': '', 'fax': '', 'employeesCount': 4}]",,
DAY Or NIGHT Home Hearth,2,"[{'_id': '5b59f2cb2c56dd000f93d23b', 'address': {'city': 'Elkridge', 'complete': '7035 Kit Kat Road, Elkridge, MD 21075, United States of America', 'country': 'US', 'state': 'MD', 'streetName': '7035 Kit Kat Road', 'streetNumber': '', 'suite': '', 'zip': '21075'}, 'location': {'lat': 39.1778888, 'lon': -76.76981769999998}, 'name': 'Elkridge', 'companyId': '5b59f2cb2c56dd000f93d23a', 'phone': '+1 410-782-4070', 'fax': '', 'employeesCount': 2}]",+1 410-782-4070,
Starmount Healthcare,1,"[{'_id': '661419552761ce005779fdef', 'address': {'city': 'Charlotte', 'state': 'NC', 'country': 'US', 'complete': 'Charlotte, NC, United States of America'}, 'location': {'lat': 35.2270869, 'lon': -80.8431267}, 'name': 'Charlotte', 'companyId': '661419552761ce005779fdee', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
Highfill & Scarborough Lighting &,1,"[{'_id': '55f72b3460cebc070078be38', 'address': {'zip': '30677', 'country': 'US', 'state': 'GA', 'streetName': 'Turkey Industrial Road', 'streetNumber': '1040', 'city': 'Watkinsville', 'complete': '1040 Turkey Industrial Rd, Watkinsville, GA 30677, USA'}, 'location': {'lat': 33.8581484, 'lon': -83.40222729999999}, 'name': 'Watkinsville', 'companyId': '55f72b3460cebc070078be37', 'phone': '', 'fax': '+1 770-725-0906', 'employeesCount': 1}]",,+1 770-725-0906
Laughinghouse Farms,1,"[{'_id': '5821c59eb743530a003b70b2', 'address': {'complete': '711 Pactolus Hwy, Greenville, NC 27834, USA', 'city': 'Greenville', 'streetNumber': '711', 'streetName': 'Pactolus Highway', 'state': 'NC', 'country': 'US', 'zip': '27834'}, 'location': {'lat': 35.634098, 'lon': -77.360297}, 'name': 'Greenville', 'companyId': '5821c59eb743530a003b70b1', 'phone': '', 'fax': '', 'employeesCount': 1}]",,
